game,name,start_date,end_date,tier
val,VALORANT Challengers 2024 Korea: Split 3,??-10-2024,??-11-2024,A-Tier
val,VALORANT Challengers 2024 Southeast Asia: Split 3,??-10-2024,??-12-2024,A-Tier
val,VCT 2024: Game Changers LAS: Closing,29-07-2024,30-09-2024,B-Tier
val,VCT 2024: Game Changers LAN: Closing,29-07-2024,01-10-2024,B-Tier
val,VCT 2024: Game Changers EMEA Stage 3,06-09-2024,06-10-2024,B-Tier
val,VCT Ascension Pacific 2024,20-09-2024,29-09-2024,A-Tier
val,VALORANT Challengers 2024 South Asia: Split 3,23-09-2024,11-10-2024,B-Tier
val,VCT 2024: Game Changers China,25-09-2024,20-10-2024,B-Tier
val,VCT 2024: Game Changers Brazil Series 3,25-09-2024,13-10-2024,B-Tier
val,VCT Game Changers Pacific 2024,01-10-2024,06-10-2024,A-Tier
val,THE POKAL 2024,04-10-2024,08-12-2024,B-Tier
val,Predator League Philippines 2025,09-10-2024,??-10-2024,B-Tier
val,Predator League Thailand 2025,10-10-2024,27-10-2024,B-Tier
val,Predator League Japan 2025,11-10-2024,13-10-2024,B-Tier
val,VCT 2024: Game Changers LATAM - Final,11-10-2024,11-10-2024,B-Tier
val,Kuwait Esports Championship,11-10-2024,12-10-2024,B-Tier
val,Saudi eLeague 2024: Major 4,15-10-2024,01-11-2024,B-Tier
val,VCT 2024: Game Changers North America Series 3,15-10-2024,20-10-2024,B-Tier
val,Predator League Vietnam 2025,17-10-2024,27-10-2024,B-Tier
pubg,PUBG Champions League 2024: Autumn,19-09-2024,13-10-2024,A-Tier
pubg,PUBG Americas Series 4,20-09-2024,06-10-2024,A-Tier
pubg,PUBG EMEA Championship: Fall,20-09-2024,06-10-2024,A-Tier
pubg,PUBG WEEKLY SERIES: KOREA Phase 2,21-09-2024,13-10-2024,A-Tier
pubg,PUBG Global Series 5 2024,21-10-2024,27-10-2024,S-Tier
pubg,PUBG Global Series 6 2024,04-11-2024,10-11-2024,S-Tier
pubg,PUBG Global Championship 2024,09-12-2024,22-12-2024,S-Tier
cs2,ESL Challenger League Season 48: Europe,15-07-2024,20-10-2024,B-Tier
cs2,BLAST Premier: Fall Final 2024,25-09-2024,29-09-2024,S-Tier
cs2,ESL Challenger at DreamHack Atlanta 2024,04-10-2024,06-10-2024,A-Tier
cs2,Intel Extreme Masters Rio 2024,07-10-2024,13-10-2024,S-Tier
cs2,Elisa Masters Espoo 2024,16-10-2024,20-10-2024,A-Tier
cs2,RES Regional Champions,16-10-2024,19-10-2024,A-Tier
cs2,Thunderpick World Championship 2024,21-10-2024,03-11-2024,S-Tier
cs2,ESL Challenger Katowice 2024,25-10-2024,27-10-2024,A-Tier
cs2,BLAST Premier: World Final 2024,30-10-2024,03-11-2024,S-Tier
cs2,Perfect World Shanghai Major 2024: American RMR,12-11-2024,15-11-2024,A-Tier
cs2,Perfect World Shanghai Major 2024: European RMRs,17-11-2024,24-11-2024,A-Tier
cs2,ESL Impact League Season 6,22-11-2024,24-11-2024,A-Tier
cs2,Perfect World Shanghai Major 2024,30-11-2024,15-12-2024,S-Tier
lol,2024 World Championship,25-09-2024,02-11-2024,S-Tier
lol,NLC Aurora Cup 2024,01-10-2024,12-11-2024,B-Tier
lol,Coupe des Étoiles 2024,01-10-2024,22-10-2024,B-Tier
